Test #,Strategy,Parameters,Return %,Sharpe,Win Rate %,Max DD %,Trades,Profit Factor
100,RSI,"{'rsi_period': 20, 'rsi_lower': 30, 'rsi_upper': 75}",179.53,0.45,80.0,-44.1,15,5.08
43,DualMA,"{'fast_ma': 25, 'slow_ma': 100}",140.51,0.45,58.3,-49.3,12,3.01
8,DualMA,"{'fast_ma': 5, 'slow_ma': 160}",102.1,0.44,46.2,-27.6,13,2.96
10,DualMA,"{'fast_ma': 5, 'slow_ma': 200}",104.32,0.44,37.5,-33.7,8,3.84
97,RSI,"{'rsi_period': 20, 'rsi_lower': 25, 'rsi_upper': 80}",191.29,0.44,87.5,-55.3,8,23.81
16,DualMA,"{'fast_ma': 10, 'slow_ma': 120}",136.06,0.44,42.9,-42.4,14,2.44
26,DualMA,"{'fast_ma': 15, 'slow_ma': 120}",136.54,0.44,50.0,-45.8,14,2.42
34,DualMA,"{'fast_ma': 20, 'slow_ma': 100}",126.15,0.42,53.8,-46.8,13,2.98
93,RSI,"{'rsi_period': 20, 'rsi_lower': 20, 'rsi_upper': 80}",119.83,0.42,80.0,-41.8,5,23.28
44,DualMA,"{'fast_ma': 25, 'slow_ma': 120}",130.17,0.42,54.5,-54.8,11,2.65
32,DualMA,"{'fast_ma': 20, 'slow_ma': 60}",121.69,0.42,47.4,-38.3,19,2.27
119,RSI,"{'rsi_period': 30, 'rsi_lower': 35, 'rsi_upper': 70}",147.39,0.41,72.7,-49.3,11,5.62
50,DualMA,"{'fast_ma': 30, 'slow_ma': 60}",118.2,0.41,60.0,-43.9,20,2.26
173,MomentumBreakout,{'lookback': 50},53.31,0.41,49.0,-17.3,51,1.51
15,DualMA,"{'fast_ma': 10, 'slow_ma': 100}",121.06,0.41,38.9,-50.2,18,2.39
18,DualMA,"{'fast_ma': 10, 'slow_ma': 160}",89.37,0.4,50.0,-28.6,10,3.06
98,RSI,"{'rsi_period': 20, 'rsi_lower': 30, 'rsi_upper': 65}",115.1,0.39,84.2,-49.8,19,3.09
146,TripleMA,"{'fast': 5, 'medium': 40, 'slow': 200}",72.71,0.38,39.1,-25.2,23,2.05
118,RSI,"{'rsi_period': 30, 'rsi_lower': 35, 'rsi_upper': 65}",113.17,0.38,84.6,-49.5,13,3.81
164,TripleMA,"{'fast': 10, 'medium': 40, 'slow': 200}",74.27,0.37,38.9,-25.8,18,2.07
19,DualMA,"{'fast_ma': 10, 'slow_ma': 180}",80.1,0.37,33.3,-30.8,9,2.72
41,DualMA,"{'fast_ma': 25, 'slow_ma': 60}",96.55,0.36,52.6,-43.5,19,1.98
96,RSI,"{'rsi_period': 20, 'rsi_lower': 25, 'rsi_upper': 75}",118.5,0.36,81.8,-41.9,11,5.4
95,RSI,"{'rsi_period': 20, 'rsi_lower': 25, 'rsi_upper': 70}",99.82,0.36,83.3,-42.7,12,7.32
125,BollingerBands,"{'bb_period': 15, 'bb_std': 3.0}",74.42,0.35,100.0,-43.4,1,
162,TripleMA,"{'fast': 10, 'medium': 40, 'slow': 50}",94.79,0.35,47.8,-30.8,23,1.9
49,DualMA,"{'fast_ma': 30, 'slow_ma': 40}",102.74,0.35,47.8,-39.6,23,2.06
76,RSI,"{'rsi_period': 14, 'rsi_lower': 20, 'rsi_upper': 75}",94.92,0.34,92.3,-43.2,13,5.36
20,DualMA,"{'fast_ma': 10, 'slow_ma': 200}",73.02,0.34,42.9,-34.0,7,2.85
51,DualMA,"{'fast_ma': 30, 'slow_ma': 80}",91.46,0.34,56.2,-48.2,16,2.42
141,TripleMA,"{'fast': 5, 'medium': 30, 'slow': 50}",71.03,0.33,39.4,-32.1,33,1.66
136,BollingerBands,"{'bb_period': 30, 'bb_std': 2.5}",80.25,0.32,80.0,-53.7,10,2.84
144,TripleMA,"{'fast': 5, 'medium': 40, 'slow': 50}",76.53,0.32,43.3,-28.8,30,1.68
39,DualMA,"{'fast_ma': 20, 'slow_ma': 200}",64.07,0.32,33.3,-37.2,6,2.62
131,BollingerBands,"{'bb_period': 25, 'bb_std': 2.0}",90.51,0.31,76.2,-63.8,21,2.12
56,DualMA,"{'fast_ma': 30, 'slow_ma': 180}",56.04,0.3,50.0,-38.3,6,2.18
57,DualMA,"{'fast_ma': 30, 'slow_ma': 200}",56.05,0.3,40.0,-38.1,5,2.5
129,BollingerBands,"{'bb_period': 20, 'bb_std': 3.0}",75.67,0.3,100.0,-47.8,2,
80,RSI,"{'rsi_period': 14, 'rsi_lower': 25, 'rsi_upper': 75}",87.75,0.3,84.2,-56.8,19,2.68
48,DualMA,"{'fast_ma': 25, 'slow_ma': 200}",55.97,0.29,33.3,-36.3,6,2.1
47,DualMA,"{'fast_ma': 25, 'slow_ma': 180}",57.36,0.29,33.3,-33.3,6,2.1
46,DualMA,"{'fast_ma': 25, 'slow_ma': 160}",57.42,0.29,57.1,-32.5,7,2.01
37,DualMA,"{'fast_ma': 20, 'slow_ma': 160}",53.22,0.27,62.5,-34.8,8,1.87
132,BollingerBands,"{'bb_period': 25, 'bb_std': 2.5}",62.51,0.26,77.8,-53.7,9,2.58
128,BollingerBands,"{'bb_period': 20, 'bb_std': 2.5}",69.81,0.26,80.0,-55.2,10,2.77
104,RSI,"{'rsi_period': 20, 'rsi_lower': 35, 'rsi_upper': 75}",79.31,0.25,81.2,-55.1,16,2.58
55,DualMA,"{'fast_ma': 30, 'slow_ma': 160}",42.98,0.24,42.9,-35.7,7,1.73
103,RSI,"{'rsi_period': 20, 'rsi_lower': 35, 'rsi_upper': 70}",66.46,0.24,84.2,-58.7,19,2.3
30,DualMA,"{'fast_ma': 15, 'slow_ma': 200}",47.78,0.24,28.6,-38.5,7,1.82
42,DualMA,"{'fast_ma': 25, 'slow_ma': 80}",56.63,0.24,50.0,-48.6,16,1.75
94,RSI,"{'rsi_period': 20, 'rsi_lower': 25, 'rsi_upper': 65}",54.25,0.24,83.3,-42.8,12,3.0
7,DualMA,"{'fast_ma': 5, 'slow_ma': 140}",41.86,0.23,23.8,-39.6,21,1.36
124,BollingerBands,"{'bb_period': 15, 'bb_std': 2.5}",59.84,0.23,75.0,-54.5,4,7.14
33,DualMA,"{'fast_ma': 20, 'slow_ma': 80}",54.96,0.23,50.0,-49.6,16,1.73
127,BollingerBands,"{'bb_period': 20, 'bb_std': 2.0}",61.21,0.23,78.3,-64.1,23,1.89
134,BollingerBands,"{'bb_period': 30, 'bb_std': 1.5}",61.09,0.23,76.0,-60.2,25,1.83
54,DualMA,"{'fast_ma': 30, 'slow_ma': 140}",42.05,0.22,45.5,-42.2,11,1.52
88,RSI,"{'rsi_period': 14, 'rsi_lower': 35, 'rsi_upper': 75}",70.18,0.22,80.8,-59.8,26,2.23
28,DualMA,"{'fast_ma': 15, 'slow_ma': 160}",39.91,0.21,55.6,-34.2,9,1.51
117,RSI,"{'rsi_period': 30, 'rsi_lower': 30, 'rsi_upper': 80}",57.49,0.21,66.7,-54.3,3,13.71
17,DualMA,"{'fast_ma': 10, 'slow_ma': 140}",38.43,0.21,40.0,-39.2,15,1.35
116,RSI,"{'rsi_period': 30, 'rsi_lower': 30, 'rsi_upper': 75}",50.47,0.19,33.3,-54.3,3,5.88
135,BollingerBands,"{'bb_period': 30, 'bb_std': 2.0}",44.09,0.18,77.8,-60.3,18,1.8
64,RSI,"{'rsi_period': 10, 'rsi_lower': 25, 'rsi_upper': 75}",44.85,0.18,67.9,-54.4,28,1.71
38,DualMA,"{'fast_ma': 20, 'slow_ma': 180}",33.77,0.18,28.6,-39.1,7,1.39
27,DualMA,"{'fast_ma': 15, 'slow_ma': 140}",30.18,0.17,45.5,-34.0,11,1.26
137,BollingerBands,"{'bb_period': 30, 'bb_std': 3.0}",30.4,0.17,100.0,-47.8,2,
84,RSI,"{'rsi_period': 14, 'rsi_lower': 30, 'rsi_upper': 75}",39.05,0.15,72.7,-55.6,22,1.88
102,RSI,"{'rsi_period': 20, 'rsi_lower': 35, 'rsi_upper': 65}",36.23,0.15,85.7,-59.0,21,1.74
75,RSI,"{'rsi_period': 14, 'rsi_lower': 20, 'rsi_upper': 70}",28.1,0.14,71.4,-44.9,14,1.87
65,RSI,"{'rsi_period': 10, 'rsi_lower': 25, 'rsi_upper': 80}",35.63,0.14,70.8,-58.2,24,1.6
29,DualMA,"{'fast_ma': 15, 'slow_ma': 180}",23.61,0.13,25.0,-40.4,8,1.14
115,RSI,"{'rsi_period': 30, 'rsi_lower': 30, 'rsi_upper': 70}",25.0,0.13,40.0,-37.2,5,6.62
79,RSI,"{'rsi_period': 14, 'rsi_lower': 25, 'rsi_upper': 70}",26.32,0.12,80.0,-58.1,20,1.59
114,RSI,"{'rsi_period': 30, 'rsi_lower': 30, 'rsi_upper': 65}",19.62,0.12,66.7,-36.0,6,2.2
45,DualMA,"{'fast_ma': 25, 'slow_ma': 140}",18.32,0.11,33.3,-44.7,12,1.1
91,RSI,"{'rsi_period': 20, 'rsi_lower': 20, 'rsi_upper': 70}",15.05,0.1,80.0,-42.2,5,2.39
